id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,summary
1359475.0,2023.0,Ahmedabad,31/03/2023,League,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,5.0,179.0,20.0,N,,Nitin Menon,HAS Khalid,"Season: 2023.0, City: Ahmedabad, Date: 31/03/2023, Match Type: League, Player of the Match: Rashid Khan, Venue: Narendra Modi Stadium, Ahmedabad, Team1: Chennai Super Kings, Team2: Gujarat Titans, Toss Winner: Gujarat Titans, Toss Decision: field, Winner: Gujarat Titans, Result: wickets by 5.0 runs/wickets, Super Over: N, Umpires: Nitin Menon and HAS Khalid."
1359476.0,2023.0,Chandigarh,01/04/2023,League,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,runs,7.0,154.0,16.0,N,D/L,BNJ Oxenford,YC Barde,"Season: 2023.0, City: Chandigarh, Date: 01/04/2023, Match Type: League, Player of the Match: Arshdeep Singh, Venue: Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh, Team1: Punjab Kings, Team2: Kolkata Knight Riders, Toss Winner: Kolkata Knight Riders, Toss Decision: field, Winner: Punjab Kings, Result: runs by 7.0 runs/wickets, Super Over: N, Umpires: BNJ Oxenford and YC Barde."
1359477.0,2023.0,Lucknow,01/04/2023,League,MA Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Lucknow Super Giants,runs,50.0,194.0,20.0,N,,AK Chaudhary,NA Patwardhan,"Season: 2023.0, City: Lucknow, Date: 01/04/2023, Match Type: League, Player of the Match: MA Wood, Venue: Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow, Team1: Lucknow Super Giants, Team2: Delhi Capitals, Toss Winner: Delhi Capitals, Toss Decision: field, Winner: Lucknow Super Giants, Result: runs by 50.0 runs/wickets, Super Over: N, Umpires: AK Chaudhary and NA Patwardhan."
1359478.0,2023.0,Hyderabad,02/04/2023,League,JC Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,runs,72.0,204.0,20.0,N,,KN Ananthapadmanabhan,R Pandit,"Season: 2023.0, City: Hyderabad, Date: 02/04/2023, Match Type: League, Player of the Match: JC Buttler, Venue: Rajiv Gandhi International Stadium, Uppal, Hyderabad, Team1: Rajasthan Royals, Team2: Sunrisers Hyderabad, Toss Winner: Sunrisers Hyderabad, Toss Decision: field, Winner: Rajasthan Royals, Result: runs by 72.0 runs/wickets, Super Over: N, Umpires: KN Ananthapadmanabhan and R Pandit."
1359479.0,2023.0,Bengaluru,02/04/2023,League,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,8.0,172.0,20.0,N,,Nitin Menon,Tapan Sharma,"Season: 2023.0, City: Bengaluru, Date: 02/04/2023, Match Type: League, Player of the Match: F du Plessis, Venue: M Chinnaswamy Stadium, Bengaluru, Team1: Mumbai Indians, Team2: Royal Challengers Bangalore, Toss Winner: Royal Challengers Bangalore, Toss Decision: field, Winner: Royal Challengers Bangalore, Result: wickets by 8.0 runs/wickets, Super Over: N, Umpires: Nitin Menon and Tapan Sharma."
1359480.0,2023.0,Chennai,03/04/2023,League,MM Ali,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Chennai Super Kings,runs,12.0,218.0,20.0,N,,A Totre,BNJ Oxenford,"Season: 2023.0, City: Chennai, Date: 03/04/2023, Match Type: League, Player of the Match: MM Ali, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Chennai Super Kings, Team2: Lucknow Super Giants, Toss Winner: Lucknow Super Giants, Toss Decision: field, Winner: Chennai Super Kings, Result: runs by 12.0 runs/wickets, Super Over: N, Umpires: A Totre and BNJ Oxenford."
1359481.0,2023.0,Delhi,04/04/2023,League,B Sai Sudharsan,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,6.0,163.0,20.0,N,,A Nand Kishore,GR Sadashiv Iyer,"Season: 2023.0, City: Delhi, Date: 04/04/2023, Match Type: League, Player of the Match: B Sai Sudharsan, Venue: Arun Jaitley Stadium, Delhi, Team1: Delhi Capitals, Team2: Gujarat Titans, Toss Winner: Gujarat Titans, Toss Decision: field, Winner: Gujarat Titans, Result: wickets by 6.0 runs/wickets, Super Over: N, Umpires: A Nand Kishore and GR Sadashiv Iyer."
1359482.0,2023.0,Guwahati,05/04/2023,League,NT Ellis,"Barsapara Cricket Stadium, Guwahati",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,runs,5.0,198.0,20.0,N,,KN Ananthapadmanabhan,MV Saidharshan Kumar,"Season: 2023.0, City: Guwahati, Date: 05/04/2023, Match Type: League, Player of the Match: NT Ellis, Venue: Barsapara Cricket Stadium, Guwahati, Team1: Punjab Kings, Team2: Rajasthan Royals, Toss Winner: Rajasthan Royals, Toss Decision: field, Winner: Punjab Kings, Result: runs by 5.0 runs/wickets, Super Over: N, Umpires: KN Ananthapadmanabhan and MV Saidharshan Kumar."
1359483.0,2023.0,Kolkata,06/04/2023,League,SN Thakur,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,81.0,205.0,20.0,N,,Vinod Seshan,VK Sharma,"Season: 2023.0, City: Kolkata, Date: 06/04/2023, Match Type: League, Player of the Match: SN Thakur, Venue: Eden Gardens, Kolkata, Team1: Kolkata Knight Riders, Team2: Royal Challengers Bangalore, Toss Winner: Royal Challengers Bangalore, Toss Decision: field, Winner: Kolkata Knight Riders, Result: runs by 81.0 runs/wickets, Super Over: N, Umpires: Vinod Seshan and VK Sharma."
1359484.0,2023.0,Lucknow,07/04/2023,League,KH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Lucknow Super Giants,wickets,5.0,122.0,20.0,N,,J Madanagopal,YC Barde,"Season: 2023.0, City: Lucknow, Date: 07/04/2023, Match Type: League, Player of the Match: KH Pandya, Venue: Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow, Team1: Sunrisers Hyderabad, Team2: Lucknow Super Giants, Toss Winner: Sunrisers Hyderabad, Toss Decision: bat, Winner: Lucknow Super Giants, Result: wickets by 5.0 runs/wickets, Super Over: N, Umpires: J Madanagopal and YC Barde."
